sample_kind,elapsed_seconds,simulated_pnl_cad
anonymized_uniform_sample,3.1695,0.0000
anonymized_uniform_sample,38.8900,-220.6202
anonymized_uniform_sample,72.1941,-195.9304
anonymized_uniform_sample,111.0182,2284.6296
anonymized_uniform_sample,144.2455,-6454.4015
anonymized_uniform_sample,184.3160,17400.1972
anonymized_uniform_sample,227.6256,23721.7243
anonymized_uniform_sample,263.5533,25949.8426
anonymized_uniform_sample,402.3140,4403.0479
anonymized_uniform_sample,439.9064,3689.6099
anonymized_uniform_sample,475.0938,24227.9242
anonymized_uniform_sample,509.2048,23135.2072
anonymized_uniform_sample,545.6117,21329.4837
anonymized_uniform_sample,586.8147,30573.8828
anonymized_uniform_sample,620.9788,33644.9355
anonymized_uniform_sample,655.7971,30533.7139
anonymized_uniform_sample,767.9554,0.0000
anonymized_uniform_sample,805.4073,2965.6023
anonymized_uniform_sample,846.1133,17453.2803
anonymized_uniform_sample,881.1701,4287.8587
anonymized_uniform_sample,916.1443,17653.1647
anonymized_uniform_sample,951.9494,-8287.9614
anonymized_uniform_sample,994.2464,42659.0960
anonymized_uniform_sample,1027.0018,41063.9857
anonymized_uniform_sample,2139.4750,44528.0224
